time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-29T23:24:44.260Z,38.6761,69.9618,10,4.7,mb,,33,0.425,1,us,us1000db6f,2018-03-30T07:27:28.323Z,"14km SSE of Roghun, Tajikistan",earthquake,3.3,1.8,0.059,87,reviewed,us,us
2018-03-29T23:17:32.780Z,36.4008,140.734,41.13,5,mwr,,118,1.466,1.39,us,us1000db68,2018-03-30T07:35:35.695Z,"15km NE of Oarai, Japan",earthquake,6.4,5.6,0.071,19,reviewed,us,us
2018-03-29T23:15:17.970Z,39.538,-121.498,-0.2,0.69,md,6,132,0.01659,0.1,nc,nc72991385,2018-03-30T00:04:34.039Z,"4km NNW of Oroville East, CA",chemical explosion,0.91,31.61,0.343,5,reviewed,nc,nc
2018-03-29T22:54:12.880Z,38.7406,69.9547,3.62,5.6,mb,,22,0.382,1.14,us,us1000db5t,2018-03-30T05:30:21.336Z,"8km ESE of Roghun, Tajikistan",earthquake,4,3.3,0.031,369,reviewed,us,us
2018-03-29T22:51:24.260Z,-5.9846,151.8545,35,5.3,mb,,42,5.947,0.82,us,us1000db5u,2018-03-29T23:04:20.040Z,"186km SSW of Kokopo, Papua New Guinea",earthquake,8.3,2,0.076,58,reviewed,us,us
2018-03-29T22:32:43.116Z,38.4723,-118.3587,4.2,1,ml,5,143.22,0.041,0.0784,nn,nn00628203,2018-03-30T02:05:30.344Z,"23km ESE of Hawthorne, Nevada",earthquake,,5.5,0.2,2,reviewed,nn,nn
2018-03-29T22:27:40.140Z,-3.7257,151.1156,23.61,4.9,mb,,90,4.1,0.98,us,us1000db5l,2018-03-29T22:51:37.040Z,"128km WNW of Rabaul, Papua New Guinea",earthquake,8.9,3.9,0.054,108,reviewed,us,us
2018-03-29T22:19:16.180Z,35.8483315,-120.1413345,9.4,1.72,md,13,175,0.1005,0.12,nc,nc72991375,2018-03-29T23:30:02.604Z,"17km S of Avenal, CA",earthquake,0.84,1.37,0.31,5,automatic,nc,nc
2018-03-29T22:15:26.060Z,-5.6305,151.5544,35,5,mb,,56,5.491,0.94,us,us1000db5b,2018-03-29T22:37:43.040Z,"156km E of Kimbe, Papua New Guinea",earthquake,8.3,1.9,0.043,170,reviewed,us,us
2018-03-29T22:15:02.421Z,62.9568,-151.3785,136.3,2.3,ml,,,,0.28,ak,ak18825073,2018-03-29T22:18:08.831Z,"95km NW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
